YEAR,NAME,TEAM,IP,pLI,playerid
2013,Brandon League,Dodgers,54.1,1.22,3731
2014,Rex Brothers,Rockies,50.2,1.49,9794
2012,Chad Qualls,- - -,52.1,0.99,2170
2012,Alfredo Aceves,Red Sox,84,1.48,5164
2012,Fernando Rodriguez,Astros,70.1,1.12,7558
2013,Carter Capps,Mariners,59,1.04,12803
2011,Alex Burnett,Twins,50.2,0.94,4065
2011,Chad Durbin,Indians,68.1,0.7,1442
2012,Hisanori Takahashi,- - -,50.1,0.48,10091
2014,Grant Balfour,Rays,50.1,1.86,718
2012,Jeff Gray,Twins,52,0.78,7718
2014,Ronald Belisario,White Sox,57.1,1.66,2203
2012,Rhiner Cruz,Astros,55,0.3,711
2012,Livan Hernandez,- - -,67.1,0.64,1116
